file_name	piece	piece_colour	field_colour
fields/20171220_035542_1.png	EMPTY	WHITE	WHITE
fields/20171220_035542_2.png	EMPTY	WHITE	WHITE
fields/20171220_035542_3.png	EMPTY	WHITE	WHITE
fields/20171220_035542_4.png	EMPTY	WHITE	WHITE
fields/20171220_035542_5.png	EMPTY	WHITE	WHITE
fields/20171220_035542_6.png	EMPTY	WHITE	WHITE
fields/20171220_035542_7.png	EMPTY	WHITE	WHITE
fields/20171220_035542_8.png	EMPTY	WHITE	WHITE
fields/20171220_035542_9.png	EMPTY	WHITE	WHITE
fields/20171220_035542_10.png	EMPTY	WHITE	WHITE
fields/20171220_035542_11.png	EMPTY	WHITE	WHITE
fields/20171220_035542_12.png	EMPTY	WHITE	WHITE
fields/20171220_035542_13.png	EMPTY	WHITE	WHITE
fields/20171220_035542_14.png	EMPTY	WHITE	WHITE
fields/20171220_035542_15.png	EMPTY	WHITE	WHITE
fields/20171220_035542_16.png	EMPTY	WHITE	WHITE
fields/20171220_035542_17.png	EMPTY	BLACK	BLACK
fields/20171220_035542_18.png	EMPTY	BLACK	BLACK
fields/20171220_035542_19.png	EMPTY	BLACK	BLACK
fields/20171220_035542_20.png	EMPTY	BLACK	BLACK
fields/20171220_035542_21.png	EMPTY	BLACK	BLACK
fields/20171220_035542_22.png	EMPTY	BLACK	BLACK
fields/20171220_035542_23.png	EMPTY	BLACK	BLACK
fields/20171220_035542_24.png	EMPTY	BLACK	BLACK
fields/20171220_035542_25.png	EMPTY	BLACK	BLACK
fields/20171220_035542_26.png	EMPTY	BLACK	BLACK
fields/20171220_035542_27.png	EMPTY	BLACK	BLACK
fields/20171220_035542_28.png	EMPTY	BLACK	BLACK
fields/20171220_035542_29.png	EMPTY	BLACK	BLACK
fields/20171220_035542_30.png	EMPTY	BLACK	BLACK
fields/20171220_035542_31.png	EMPTY	BLACK	BLACK
fields/20171220_035542_32.png	EMPTY	BLACK	BLACK
fields/20171220_035542_33.png	PAWN	WHITE	BLACK
fields/20171220_035542_34.png	PAWN	WHITE	BLACK
fields/20171220_035542_35.png	PAWN	WHITE	BLACK
fields/20171220_035542_36.png	PAWN	WHITE	BLACK
fields/20171220_035542_37.png	PAWN	WHITE	WHITE
fields/20171220_035542_38.png	PAWN	WHITE	WHITE
fields/20171220_035542_39.png	PAWN	WHITE	WHITE
fields/20171220_035542_40.png	PAWN	WHITE	WHITE
fields/20171220_035542_41.png	PAWN	BLACK	WHITE
fields/20171220_035542_42.png	PAWN	BLACK	WHITE
fields/20171220_035542_43.png	PAWN	BLACK	WHITE
fields/20171220_035542_44.png	PAWN	BLACK	WHITE
fields/20171220_035542_45.png	PAWN	BLACK	BLACK
fields/20171220_035542_46.png	PAWN	BLACK	BLACK
fields/20171220_035542_47.png	PAWN	BLACK	BLACK
fields/20171220_035542_48.png	PAWN	BLACK	BLACK
fields/20171220_035542_49.png	ROOK	BLACK	BLACK
fields/20171220_035542_50.png	ROOK	BLACK	WHITE
fields/20171220_035542_51.png	ROOK	WHITE	WHITE
fields/20171220_035542_52.png	ROOK	WHITE	BLACK
fields/20171220_035542_53.png	KNIGHT	WHITE	WHITE
fields/20171220_035542_54.png	KNIGHT	WHITE	BLACK
fields/20171220_035542_55.png	KNIGHT	BLACK	BLACK
fields/20171220_035542_56.png	KNIGHT	BLACK	WHITE
fields/20171220_035542_57.png	BISHOP	WHITE	WHITE
fields/20171220_035542_58.png	BISHOP	WHITE	BLACK
fields/20171220_035542_59.png	BISHOP	BLACK	BLACK
fields/20171220_035542_60.png	BISHOP	BLACK	WHITE
fields/20171220_035542_61.png	QUEEN	WHITE	WHITE
fields/20171220_035542_62.png	QUEEN	BLACK	BLACK
fields/20171220_035542_63.png	KING	WHITE	BLACK
fields/20171220_035542_64.png	KING	BLACK	WHITE
fields/20180322_092844_1.png	EMPTY	WHITE	WHITE
fields/20180322_092844_2.png	EMPTY	WHITE	WHITE
fields/20180322_092844_3.png	EMPTY	WHITE	WHITE
fields/20180322_092844_4.png	EMPTY	WHITE	WHITE
fields/20180322_092844_5.png	EMPTY	WHITE	WHITE
fields/20180322_092844_6.png	EMPTY	WHITE	WHITE
fields/20180322_092844_7.png	EMPTY	WHITE	WHITE
fields/20180322_092844_8.png	EMPTY	WHITE	WHITE
fields/20180322_092844_9.png	EMPTY	WHITE	WHITE
fields/20180322_092844_10.png	EMPTY	WHITE	WHITE
fields/20180322_092844_11.png	EMPTY	WHITE	WHITE
fields/20180322_092844_12.png	EMPTY	WHITE	WHITE
fields/20180322_092844_13.png	EMPTY	WHITE	WHITE
fields/20180322_092844_14.png	EMPTY	WHITE	WHITE
fields/20180322_092844_15.png	EMPTY	WHITE	WHITE
fields/20180322_092844_16.png	EMPTY	WHITE	WHITE
fields/20180322_092844_17.png	EMPTY	BLACK	BLACK
fields/20180322_092844_18.png	EMPTY	BLACK	BLACK
fields/20180322_092844_19.png	EMPTY	BLACK	BLACK
fields/20180322_092844_20.png	EMPTY	BLACK	BLACK
fields/20180322_092844_21.png	EMPTY	BLACK	BLACK
fields/20180322_092844_22.png	EMPTY	BLACK	BLACK
fields/20180322_092844_23.png	EMPTY	BLACK	BLACK
